date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,city,price_per_sqft
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,3,1955,Shoreline,233.58
2014-05-02,2384000.0,5.0,2.5,3650,9050,2.0,5,1921,Seattle,653.15
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,4,1966,Kent,177.2
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,4,1963,Bellevue,210.0
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,4,1976,Redmond,283.51
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,3,1938,Seattle,556.82
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,3,1976,Redmond,248.15
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,3,1989,Maple Valley,177.86
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,4,1985,North Bend,186.21
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,3,1945,Seattle,421.05
2014-05-02,463000.0,3.0,1.75,1710,7320,1.0,3,1948,Lake Forest Park,270.76
2014-05-02,1400000.0,4.0,2.5,2920,4000,1.5,5,1909,Seattle,479.45
2014-05-02,588500.0,3.0,1.75,2330,14892,1.0,3,1980,Sammamish,252.58
2014-05-02,365000.0,3.0,1.0,1090,6435,1.0,4,1955,Seattle,334.86
2014-05-02,1200000.0,5.0,2.75,2910,9480,1.5,3,1939,Seattle,412.37
2014-05-02,242500.0,3.0,1.5,1200,9720,1.0,4,1965,Kent,202.08
2014-05-02,419000.0,3.0,1.5,1570,6700,1.0,4,1956,Bellevue,266.88
2014-05-02,367500.0,4.0,3.0,3110,7231,2.0,3,1997,Auburn,118.17
2014-05-02,257950.0,3.0,1.75,1370,5858,1.0,3,1987,Des Moines,188.28
2014-05-02,275000.0,3.0,1.5,1180,10277,1.0,3,1983,North Bend,233.05
2014-05-02,750000.0,3.0,1.75,2240,10578,2.0,5,1923,Seattle,334.82
2014-05-02,435000.0,4.0,1.0,1450,8800,1.0,4,1954,Bellevue,300.0
2014-05-02,626000.0,3.0,2.25,1750,1572,2.5,3,2005,Seattle,357.71
2014-05-02,612500.0,4.0,2.5,2730,12261,2.0,3,1991,Bothell,224.36
2014-05-02,495000.0,4.0,1.75,1600,6380,1.0,3,1959,Seattle,309.38
2014-05-02,285000.0,3.0,2.5,2090,10834,1.0,4,1987,Federal Way,136.36
2014-05-02,615000.0,3.0,1.75,2360,7291,1.0,4,1948,Seattle,260.59
2014-05-02,698000.0,4.0,2.25,2200,11250,1.5,5,1920,Kirkland,317.27
2014-05-02,675000.0,5.0,2.5,2820,67518,2.0,3,1979,Issaquah,239.36
2014-05-02,790000.0,3.0,2.5,2600,4750,1.0,4,1951,Seattle,303.85
2014-05-02,382500.0,4.0,1.75,1560,8700,1.0,4,1967,Kirkland,245.19
2014-05-02,499950.0,4.0,2.5,2860,3345,2.0,3,2004,Woodinville,174.81
2014-05-02,650000.0,4.0,2.0,1820,5000,1.5,3,1945,Seattle,357.14
2014-05-02,625000.0,4.0,2.5,2820,8408,2.0,3,2014,Shoreline,221.63
2014-05-02,400000.0,4.0,2.5,3630,42884,1.5,3,1979,Auburn,110.19
2014-05-02,604000.0,3.0,2.5,3240,33151,2.0,3,1995,Federal Way,186.42
2014-05-02,440000.0,2.0,1.0,800,4850,1.0,4,1944,Seattle,550.0
2014-05-02,287200.0,3.0,3.0,1850,19966,1.0,4,1992,Maple Valley,155.24
2014-05-02,403000.0,3.0,2.0,1960,13100,1.0,5,1957,Normandy Park,205.61
2014-05-02,750000.0,3.0,2.5,2390,6550,1.0,4,1955,Seattle,313.81
2014-05-02,335000.0,3.0,2.25,1580,16215,1.0,4,1978,Fall City,212.03
2014-05-02,260000.0,4.0,2.0,1480,8625,1.0,4,1974,Renton,175.68
2014-05-02,308500.0,2.0,1.0,850,6174,1.0,4,1950,Shoreline,362.94
2014-05-02,439950.0,3.0,2.5,1770,2875,2.0,3,1990,Seattle,248.56
2014-05-02,235000.0,2.0,1.0,1210,9400,1.0,2,1949,Seattle,194.21
2014-05-02,315000.0,3.0,1.0,1160,9180,1.0,3,1968,Woodinville,271.55
2014-05-02,437500.0,3.0,2.25,1970,35100,2.0,4,1977,Issaquah,222.08
2014-05-02,407500.0,3.0,2.5,1930,10460,2.0,3,1996,Renton,211.14
2014-05-02,445700.0,3.0,2.5,1270,1180,3.0,3,2001,Seattle,350.94
2014-05-02,838000.0,4.0,2.5,3310,42998,2.0,3,2001,Redmond,253.17
2014-05-02,630000.0,4.0,2.75,2710,37277,2.0,3,2000,Issaquah,232.47
2014-05-02,550000.0,3.0,1.75,2910,35200,1.5,3,1979,Sammamish,189.0
2014-05-02,805000.0,3.0,2.0,2710,4500,1.5,4,1929,Seattle,297.05
2014-05-02,284000.0,3.0,1.75,1800,23103,1.0,3,1968,Carnation,157.78
2014-05-02,470000.0,5.0,2.5,2210,9655,1.0,3,1976,Bothell,212.67
